2026-04-23 01:59:25 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:12 - Fetching Understat data for EPL 2023
2026-04-23 01:59:26 | ERROR    | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:58 - Scrapling Error for EPL 2023: Could not find teamsData JSON in page content (Cloudflare Block or Empty Data)
Traceback (most recent call last):

  File "<string>", line 3, in <module>

> File "/app/src/ingestion/scrapers/understat_historical.py", line 29, in fetch_understat_historical_season
    raise Exception("Could not find teamsData JSON in page content (Cloudflare Block or Empty Data)")

Exception: Could not find teamsData JSON in page content (Cloudflare Block or Empty Data)
2026-04-23 02:24:14 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2223...
2026-04-23 02:24:14 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for Serie_A 2022
2026-04-23 02:24:16 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for Serie_A 2022
2026-04-23 02:25:04 | INFO     | src.ingestion.historical:download_football_data_co_uk:155 - Successfully merged 341 out of 380 matches (Dropped 39 invalid matches).
2026-04-23 02:25:04 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for Bundesliga...
2026-04-23 02:25:07 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 306 new matches for season 2324...
2026-04-23 02:25:07 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for Bundesliga 2023
2026-04-23 02:25:07 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 612 Understat records for Bundesliga 2023
2026-04-23 02:25:19 | INFO     | src.ingestion.historical:download_football_data_co_uk:155 - Successfully merged 182 out of 380 matches (Dropped 198 invalid matches).
2026-04-23 02:25:23 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2122...
2026-04-23 02:25:23 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for La_liga 2021
2026-04-23 02:25:24 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for La_liga 2021
2026-04-23 02:25:32 | WARNING  | src.ingestion.normalizer:normalize:80 - Unmapped team 'Ein Frankfurt' (Score: 81). Asking LLM...
2026-04-23 02:25:41 | INFO     | src.ingestion.historical:download_football_data_co_uk:147 - Successfully merged 342 out of 380 matches (Dropped 38 invalid matches).
2026-04-23 02:25:45 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2122...
2026-04-23 02:25:45 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for Serie_A 2021
2026-04-23 02:25:46 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for Serie_A 2021
2026-04-23 02:26:05 | ERROR    | src.ingestion.normalizer:normalize:88 - LLM Auto-Healing failed after retries for 'Ein Frankfurt': RetryError[<Future at 0x7a78dd4b4950 state=finished raised ValueError>]
2026-04-23 02:26:05 | WARNING  | src.ingestion.normalizer:normalize:92 - Unmapped team name 'Ein Frankfurt' (Score: 81). Discarding.
2026-04-23 02:26:32 | WARNING  | src.ingestion.normalizer:normalize:80 - Unmapped team 'Ein Frankfurt' (Score: 81). Asking LLM...
2026-04-23 02:26:40 | INFO     | src.ingestion.historical:download_football_data_co_uk:155 - Successfully merged 210 out of 380 matches (Dropped 170 invalid matches).
2026-04-23 02:26:40 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for Serie A...
2026-04-23 02:26:43 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2324...
2026-04-23 02:26:43 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for Serie_A 2023
2026-04-23 02:26:44 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for Serie_A 2023
2026-04-23 02:26:57 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for Premier League...
2026-04-23 02:27:00 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 198 new matches for season 2324...
